office_name,office_category,zone_name,address,city,state,postal_code,latitude,longitude,confidence,score,provider,query_type,query,verification_notes
"Regional Office, TIRUPPUR",TIRUPPUR,Tamil Nadu,"Regional Office, Tiruppur 497, Ist Floor, M/s. Muthusamy & Bros Industrial Complex, Palladam Road, Tiruppur, TIRUPUR - 641604",Tirupur,,641604,11.101989,77.252845,low,0.416,photon,city_only,"Tirupur, India",string_similarity=0.38; token_overlap=0.21; city_match; postal_missing; within_india_bounds
"Regional Office, COIMBATORE",COIMBATORE,Tamil Nadu,"Bhavishyanidhi Bhavan, Post Box No.3875,, Dr.Balasundaram Road, Coimbatore - 641 018",Coimbatore - 641 018,,,11.033486,76.966672,very_low,0.213,nominatim,city_only,"Coimbatore - 641 018, India",string_similarity=0.31; token_overlap=0.10; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - COONOOR",D.O - COONOOR,Tamil Nadu,"Employees' Provident Fund Organisation, District Office, Coonoor, 2nd Floor, BSNL Exchange Building,, Opp. SIMS Park, Coonoor, The Nilgiris, COONOOR - 643101",Coonoor,,643101,11.3533821,76.800523,medium,0.9,google_maps,official_address_landmark,"BSNL Customer Care Office, Coonoor",official_address_match; building_landmark_match; postal_match; within_india_bounds
"District Office, D.O - OOTY",D.O - OOTY,Tamil Nadu,"No. 274, C-1, Alexander Cottage,, STATE BANK LANE, OOTACAMUND - 643001",Ootacamund,,643001,11.417565,76.672553,very_low,0.341,photon,city_only,"Ootacamund, India",string_similarity=0.24; token_overlap=0.11; city_match; postal_missing; within_india_bounds
"District Office, D.O - POLLACHI",D.O - POLLACHI,Tamil Nadu,"BSNL Microwave Building, Mahalakshmi Nagar, Tiruppur Road,, Puliyampatty Post, Pollachi, Pollachi - 642002",Pollachi,,642002,10.669037,77.008322,low,0.469,nominatim,postal_code,"642002, India",string_similarity=0.21; token_overlap=0.18; city_match; postal_match; within_india_bounds
"Regional Office, MADURAI",MADURAI,Tamil Nadu,"Bhavishya Nidhi Bhavan, 1, Lady Doak College Road,, Chokkikulam,, Madurai - 625 002",Madurai - 625 002,,,9.919271,78.109881,very_low,0.198,photon,city_only,"Madurai - 625 002, India",string_similarity=0.28; token_overlap=0.08; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - SIVAKASI",D.O - SIVAKASI,Tamil Nadu,"KM Complex, Old Virudhunagar Road, Sivakasi - 626189",Sivakasi,,626189,9.437754,77.816006,medium,0.627,nominatim,postal_code,"626189, India",string_similarity=0.44; token_overlap=0.50; city_match; postal_match; within_india_bounds
"District Office, D.O - DINDIGUL",D.O - DINDIGUL,Tamil Nadu,"Bava Lodge Building, 16-A, Railway Station Road, Nagal Nagar, Dindigul - 624003",Dindigul,,624003,10.357027,77.981196,low,0.475,nominatim,postal_code,"624003, India",string_similarity=0.23; token_overlap=0.18; city_match; postal_match; within_india_bounds
"Regional Office, NAGERCOIL",NAGERCOIL,Tamil Nadu,"No. 65A,, Water Tank Road,, Nagercoil - 629 001",Nagercoil - 629 001,,,8.183243,77.42139,very_low,0.373,nominatim,full_address,"No. 65A,, Water Tank Road,, Nagercoil - 629 001",string_similarity=0.43; token_overlap=0.57; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, SALEM",SALEM,Tamil Nadu,"STEEL PLANT ROAD, DALAVAYPATTI, Salem - 636302",Salem,,636302,11.669646,78.097225,low,0.503,nominatim,postal_code,"636302, India",string_similarity=0.20; token_overlap=0.33; city_match; postal_match; within_india_bounds
"District Office, D.O - ERODE",D.O - ERODE,Tamil Nadu,"Raj Majestic,351/4 & 351/5,, Erode to Salem Main Road,, Karungalpalayam,Erode - 638003","Karungalpalayam,Erode",,638003,11.34825,77.729735,very_low,0.346,nominatim,postal_code,"638003, India",string_similarity=0.29; token_overlap=0.18; city_mismatch; postal_match; within_india_bounds
"District Office, D.O - KRISHNAGIRI",D.O - KRISHNAGIRI,Tamil Nadu,"35A/107, West Link Road,, Co-Operative Colony,, Krishnagiri - 635001",Krishnagiri,,635001,12.52221,78.213903,low,0.524,nominatim,postal_code,"635001, India",string_similarity=0.34; token_overlap=0.22; city_match; postal_match; within_india_bounds
"Regional Office, TIRUNELVELI",TIRUNELVELI,Tamil Nadu,"Bhavishya Nidhi Bhavan, NGO ""B"" Colony, Tirunelveli - 627 007",Tirunelveli - 627 007,,,8.699177,77.716977,very_low,0.247,nominatim,city_only,"Tirunelveli - 627 007, India",string_similarity=0.39; token_overlap=0.12; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - TUTICORIN",D.O - TUTICORIN,Tamil Nadu,"District Office, 73H/2D, 2F, N.P. Complex, 60 Feet Road, PolpettaiPolpettai,, Tuticorin - 628 002",Tuticorin - 628 002,,,8.827387,78.129355,very_low,0.225,nominatim,city_only,"Tuticorin - 628 002, India",string_similarity=0.28; token_overlap=0.18; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, TRICHY",TRICHY,Tamil Nadu,"Post Box No. 588. Sree Complex, 'D' Block,No. 18, Madurai Road, Trichy - 620 008",Trichy,,620008,10.820743,78.69226,high,1,google_maps,exact_place,"EPFO Regional Office, Madurai Road, Tiruchirappalli",official_address_match; exact_place_match; postal_match; within_india_bounds
"District Office, D.O - THANJAVUR",D.O - THANJAVUR,Tamil Nadu,"No.35-B, Pandian Nagar,, Medical College Road,, Thanjavur - 613007",Thanjavur,,613007,10.768902,79.131048,low,0.544,maps_co,postal_code,"613007, India",string_similarity=0.38; token_overlap=0.25; city_match; postal_match; within_india_bounds
"District Office, D.O - KARUR",D.O - KARUR,Tamil Nadu,"municipal Shopping Complex,, New Building second floor, Azad Road,, Karur - 639001.",Karur,,639001,10.959861,78.075323,low,0.45,nominatim,postal_code,"639001, India",string_similarity=0.16; token_overlap=0.18; city_match; postal_match; within_india_bounds
"District Office, D.O - CUDDALORE",D.O - CUDDALORE,Tamil Nadu,"A.R.A. Complex,, 22,Nethaji Road, Manjakuppam,, Cuddalore - 607001.",Cuddalore,,607001,11.756255,79.762177,low,0.51,nominatim,postal_code,"607001, India",string_similarity=0.25; token_overlap=0.29; city_match; postal_match; within_india_bounds
"District Office, D.O - KUMBAKONAM",D.O - KUMBAKONAM,Tamil Nadu,"95,, mothilal street,, Kumbakonam - 612001",Kumbakonam,,612001,10.960411,79.382086,medium,0.59,nominatim,city_only,"Kumbakonam, India",string_similarity=0.40; token_overlap=0.40; city_match; postal_match; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, MAHARASHTRA(EXCLUDING MUMBAI)(PUNE)",MAHARASHTRA(EXCLUDING MUMBAI)(PUNE),Maharashtra & Chhattisgarh,"2nd Floor, Pune Cantonment Board Building,, Near Golibar Maidan, Camp, Pune(Maharashtra) - 411 001.",Pune(Maharashtra) - 411 001.,Maharashtra,,18.513308,73.826736,very_low,0.343,nominatim,city_state,"Pune(Maharashtra) - 411 001., Maharashtra, India",string_similarity=0.30; token_overlap=0.15; city_mismatch; state_match; postal_unavailable; within_india_bounds
"Regional Office, AKOLA",AKOLA,Maharashtra & Chhattisgarh,"15-B, Raghuraj Arcade,, Civil Lines, Akola - 444001",Akola,,444001,20.710676,77.01069,low,0.53,nominatim,postal_code,"444001, India",string_similarity=0.31; token_overlap=0.29; city_match; postal_match; within_india_bounds
"District Office, D.O - AMRAVATI",D.O - AMRAVATI,Maharashtra & Chhattisgarh,"EPFO, District Office-Amravati,C/o Ms. Nandini Dole,, Dole bungalow, In front of Amravati Railway Station, Maltekdi Road,, Amravati - 444606",Amravati,,444606,20.921712,77.767028,low,0.436,nominatim,postal_code,"444606, India",string_similarity=0.14; token_overlap=0.15; city_match; postal_match; within_india_bounds
"Regional Office, CHHATRAPATI SAMBHAJINAGAR",CHHATRAPATI SAMBHAJINAGAR,Maharashtra & Chhattisgarh,"Bhavishya Nidhi Bhavan, Plot No.2,Town Centre, Commercial Area, C.I.D.C.O.,New Aurangabad, Aurangabad - 431 029",Aurangabad - 431 029,,,19.8598,75.311401,very_low,0.184,photon,city_only,"Aurangabad - 431 029, India",string_similarity=0.24; token_overlap=0.08; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, KOLHAPUR",KOLHAPUR,Maharashtra & Chhattisgarh,"Bhavishya Nidhi Bhavan, 238/6,, E' Ward, Tarabai Park,, Kolhapur - 416003",Kolhapur,,416003,16.7123155,74.2433791,high,1,google_maps,exact_place,"Provident Fund Office, 238/6 E Ward, Tarabai Park, Kolhapur",official_address_match; exact_place_match; postal_match; within_india_bounds
"Regional Office, NAGPUR",NAGPUR,Maharashtra & Chhattisgarh,"132-A, Ridge Road,, Tukdoji Square,Raghuji Nagar, Nagpur - 440 009",Nagpur - 440 009,,,21.147717,79.039243,very_low,0.27,photon,city_only,"Nagpur - 440 009, India",string_similarity=0.47; token_overlap=0.10; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, NAGPUR (ANNEX BLDG)",NAGPUR (ANNEX BLDG),Maharashtra & Chhattisgarh,"E.P.F Organisation,, Umred Road, Near Shitla Mata Mandir,, Nagpur - 440 024, 2746734, 2756765",Nagpur,,440024,21.1212648,79.1204893,high,1,google_maps,exact_place,"EPFO RO PF Office Annex Building, Umred Road, Nagpur",official_address_match; exact_place_match; postal_match; within_india_bounds
"District Office, D.O - CHANDRAPUR",D.O - CHANDRAPUR,Maharashtra & Chhattisgarh,"Ground Floor, BSNL Building, Near Zila Stadium, Civil Lines, Chandrapur - 442401",Chandrapur,,442401,19.987121,79.317196,low,0.467,nominatim,postal_code,"442401, India",string_similarity=0.20; token_overlap=0.18; city_match; postal_match; within_india_bounds
"Regional Office, NASIK",NASIK,Maharashtra & Chhattisgarh,"Bhavishya Nidhi Bhavan, Plot No.P-11,, MIDC Satpur (Maharashtra)., Nasik - 422007",Nasik,,422007,20.012537,73.729824,very_low,0.361,nominatim,postal_code,"422007, India",string_similarity=0.32; token_overlap=0.20; city_mismatch; postal_match; within_india_bounds
"District Office, D.O - AHMADNAGAR",D.O - AHMADNAGAR,Maharashtra & Chhattisgarh,"Savitribai Phule Sankul, Second Floor, Savedi, Ahmadnagar - 414003",Ahmadnagar,,414003,19.095376,74.755492,very_low,0.344,photon,city_only,"Ahmadnagar, India",string_similarity=0.24; token_overlap=0.12; city_match; postal_missing; within_india_bounds
"District Office, D.O - JALGAON",D.O - JALGAON,Maharashtra & Chhattisgarh,"Bhavishya Nidhi Aayuktalaya, Near BSNL Tower, P-53, Raymond Choufuli, MIDC, Jalgaon - 425003",Jalgaon,,425003,20.937473,75.607998,low,0.479,nominatim,postal_code,"425003, India",string_similarity=0.25; token_overlap=0.17; city_match; postal_match; within_india_bounds
"Regional Office, PUNE (HINJAWADI)",PUNE (HINJAWADI),Maharashtra & Chhattisgarh,"EPFO, RO Hinjawadi, Sanjay Kale Sabhagriha, Nr. Dnyaneshwar Udyan,, PCMC Commercial Complex,Sector 28, Pradhikaran, Akurdi, Pune - 411044",Pune,,411044,18.654585,73.76976,low,0.438,nominatim,postal_code,"411044, India",string_similarity=0.16; token_overlap=0.12; city_match; postal_match; within_india_bounds
"Regional Office, PUNE (PUNE CANTT.)",PUNE (PUNE CANTT.),Maharashtra & Chhattisgarh,"2nd and 3rd Floor, Pune Cantonment Board Building,, Near Golibar Maidan, Camp, (Maharashtra), Pune - 411001",Pune,,411001,18.532486,73.877493,low,0.522,nominatim,postal_code,"411001, India",string_similarity=0.34; token_overlap=0.21; city_match; postal_match; within_india_bounds
"Regional Office, PUNE (AKURDI)",PUNE (AKURDI),Maharashtra & Chhattisgarh,"E.P.F Organisation, Sector-28, Commercial Complex,, Sanjay Kale Sabha Griha, Pradhikaran, Akurdi,, Pune - 411044",Pune,,411044,18.654585,73.76976,low,0.445,nominatim,postal_code,"411044, India",string_similarity=0.16; token_overlap=0.15; city_match; postal_match; within_india_bounds
"Regional Office, PUNE (VIMAN NAGAR)",PUNE (VIMAN NAGAR),Maharashtra & Chhattisgarh,"2nd and 3rd Floor, Pune Cantonment Board Building,, Near Golibar Maidan, Camp, (Maharashtra), Pune - 411001",Pune,,411001,18.532486,73.877493,low,0.522,nominatim,postal_code,"411001, India",string_similarity=0.34; token_overlap=0.21; city_match; postal_match; within_india_bounds
"Regional Office, SOLAPUR",SOLAPUR,Maharashtra & Chhattisgarh,"165-A, Railway Lines, Survase Tower,, Solapur - 413001",Solapur,,413001,17.668077,75.901337,low,0.496,nominatim,postal_code,"413001, India",string_similarity=0.21; token_overlap=0.29; city_match; postal_match; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, BIHAR & JHARKHAND(PATNA)",BIHAR & JHARKHAND(PATNA),Bihar & Jharkhand,"Road No.06,Block R,, Serpantine Road,Near MLA Flats, Patna - 800001.",Patna,,800001,25.609324,85.123525,low,0.521,nominatim,city_only,"Patna, India",string_similarity=0.33; token_overlap=0.22; city_match; postal_match; within_india_bounds
"Regional Office, BHAGALPUR",BHAGALPUR,Bihar & Jharkhand,"Telephone Bhawan, M. G. Path, Near Head Post Office, Bhagalpur - 812001",Bhagalpur,,812001,25.293884,86.934573,low,0.536,nominatim,postal_code,"812001, India",string_similarity=0.37; token_overlap=0.22; city_match; postal_match; within_india_bounds
"District Office, D.O - KATIHAR",D.O - KATIHAR,Bihar & Jharkhand,"Katihar Medical College Road,, Bheriya, Rahika, KATIHAR - 854106",Katihar,,854106,25.551202,87.530444,low,0.526,nominatim,postal_code,"854106, India",string_similarity=0.30; token_overlap=0.29; city_match; postal_match; within_india_bounds
"District Office, D.O - MUNGER",D.O - MUNGER,Bihar & Jharkhand,"Prafulla Bhawan, 1st Floor, Betwan Bazar, MUNGER - 811201",Munger,,811201,25.317336,86.49207,very_low,0.385,photon,postal_code,"811201, India",string_similarity=0.35; token_overlap=0.12; city_match; postal_missing; within_india_bounds
"Regional Office, MUZAFFARPUR",MUZAFFARPUR,Bihar & Jharkhand,"BSNL Campus ,, Companybagh,, Muzaffarpur - 842001",Muzaffarpur,,842001,26.124741,85.380862,medium,0.612,nominatim,postal_code,"842001, India",string_similarity=0.46; token_overlap=0.40; city_match; postal_match; within_india_bounds
"District Office, D.O - DARBHANGA",D.O - DARBHANGA,Bihar & Jharkhand,"Ekmi Road, Said Nagar,, Laheriasarai, Darbhanga - 846001",Darbhanga,,846001,26.115721,85.90012,low,0.549,nominatim,postal_code,"846001, India",string_similarity=0.36; token_overlap=0.29; city_match; postal_match; within_india_bounds
"Regional Office, PATNA",PATNA,Bihar & Jharkhand,"Bhavishyanidhi Bhawan, R-Block,, Road No. 06,, Patna - 800 001",Patna - 800 001,,,25.609324,85.123525,very_low,0.22,nominatim,city_only,"Patna - 800 001, India",string_similarity=0.31; token_overlap=0.12; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - ROHTAS",D.O - ROHTAS,Bihar & Jharkhand,"Shanti Niketan,, Pali Road,, Dehri-On-Sone, - 821307",Dehri,,821307,24.901789,84.184978,low,0.502,nominatim,postal_code,"821307, India",string_similarity=0.23; token_overlap=0.29; city_match; postal_match; within_india_bounds
"District Office, D.O - GAYA",D.O - GAYA,Bihar & Jharkhand,"231,, A.P Colony,, Gaya, - 823001",Gaya,,823001,24.794033,84.997975,medium,0.641,nominatim,postal_code,"823001, India",string_similarity=0.47; token_overlap=0.50; city_match; postal_match; within_india_bounds
"Regional Office, JAMSHEDPUR",JAMSHEDPUR,Bihar & Jharkhand,"Bhavishya Nidhi Bhawan,, Aambagan, Sakchi, (Jharkhand), Jamshedpur - 831001",Jamshedpur,,831001,22.801519,86.202958,low,0.533,nominatim,city_only,"Jamshedpur, India",string_similarity=0.26; token_overlap=0.38; city_match; postal_match; within_india_bounds
"District Office, D.O - CHAIBASA",D.O - CHAIBASA,Bihar & Jharkhand,"Shree Balaji ApartmentNimdih,, Distt.- West Singhbhum,, Chaibasa - 833201.",Chaibasa,,833201,22.548352,85.818888,medium,0.656,nominatim,city_only,"Chaibasa, India",string_similarity=0.52; token_overlap=0.50; city_match; postal_match; within_india_bounds
"Regional Office, RANCHI",RANCHI,Bihar & Jharkhand,"BHAVISHYA NIDHI BHAWAN, HINOO, DORANDA, Ranchi - 834002",Ranchi,,834002,23.338528,85.313759,low,0.517,nominatim,postal_code,"834002, India",string_similarity=0.27; token_overlap=0.29; city_match; postal_match; within_india_bounds
"District Office, D.O - SAHIBGANJ",D.O - SAHIBGANJ,Bihar & Jharkhand,"2nd Floor,Guha Market, College Road,, PO & Dist.Sahibganj, - 816109",Po & Dist.Sahibganj,,816109,25.249106,87.62299,very_low,0.374,nominatim,postal_code,"816109, India",string_similarity=0.34; token_overlap=0.22; city_mismatch; postal_match; within_india_bounds
"District Office, D.O - KODERMA",D.O - KODERMA,Bihar & Jharkhand,"2nd Floor, Maa Gayatri Surya Complex, Ranchi-Patna Road,, Jhumritelaiya, Koderma - 825409","Jhumritelaiya, Koderma",,825409,24.43443,85.52529,very_low,0.306,nominatim,postal_code,"825409, India",string_similarity=0.18; token_overlap=0.17; city_mismatch; postal_match; within_india_bounds
"District Office, D.O - BOKARO",D.O - BOKARO,Bihar & Jharkhand,"Near S.P. Office,, Sector-I,, Bokaro Steel City,Jharkhand - 827001","Bokaro Steel City,Jharkhand",,827001,23.728067,86.052755,low,0.444,nominatim,postal_code,"827001, India",string_similarity=0.43; token_overlap=0.38; city_mismatch; postal_match; within_india_bounds
"District Office, D.O - GIRIDIH",D.O - GIRIDIH,Bihar & Jharkhand,"Samanta Complex, Court Road,, Giridih,Jharkhand - 815301","Giridih,Jharkhand",,815301,24.184604,86.303139,low,0.464,nominatim,postal_code,"815301, India",string_similarity=0.45; token_overlap=0.43; city_mismatch; postal_match; within_india_bounds
"District Office, D.O - DEOGHAR",D.O - DEOGHAR,Bihar & Jharkhand,"Saket Vihar,, Opp. D.C. Residence, Deoghar, Jharkhand, - 814112","Deoghar, Jharkhand",,814112,24.489832,86.699018,medium,0.647,nominatim,city_only,"Deoghar, Jharkhand, India",string_similarity=0.54; token_overlap=0.43; city_match; postal_match; within_india_bounds
"District Office, D.O - DHANBAD",D.O - DHANBAD,Bihar & Jharkhand,"Employees' Provident Fund Organisation,, District Office, Dhanbad BSNL Building, Near Head Post Office,Dhanbad,Jharkhand - 826001",Dhanbad,Jharkhand,826001,23.7981609,86.4320728,medium,0.9,manual_verified,official_address_landmark,"BSNL Building near Dhanbad Head Post Office",official_address_match; adjacent_landmark_match; postal_match; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, KERALA & LAKSHADWEEP (THIRUVANANTHAPURAM)",KERALA & LAKSHADWEEP (THIRUVANANTHAPURAM),Kerala & Lakshadweep,"Bhavishyanidhi Bhawan,P.B. No. . 1016,, Pattom,, Thiruvananthapuram - 695 004.",Thiruvananthapuram - 695 004.,,,8.488227,76.947551,very_low,0.245,photon,city_only,"Thiruvananthapuram - 695 004., India",string_similarity=0.37; token_overlap=0.14; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, KOCHI",KOCHI,Kerala & Lakshadweep,"Bhavishya Nidhi Bhawan,, P.F. Road, Kaloor,, Kochi, Kerala - 682 017","Kochi, Kerala - 682 017",,,9.967903,76.244438,very_low,0.26,nominatim,city_only,"Kochi, Kerala - 682 017, India",string_similarity=0.36; token_overlap=0.22; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - ALLEYPPEY",D.O - ALLEYPPEY,Kerala & Lakshadweep,"Sanchar Bhavan, Pichu Iyyer Road,, Mullakkal PO,, ALAPPUZHA - 688011",Alappuzha,,688011,9.494272,76.34376,low,0.511,nominatim,postal_code,"688011, India",string_similarity=0.28; token_overlap=0.25; city_match; postal_match; within_india_bounds
"District Office, D.O - THRISSUR",D.O - THRISSUR,Kerala & Lakshadweep,"EPFO, S-54, III Floor, Sakthan Arcade, Sakthan Thampuran Nagar, Thrissur - 680001",Thrissur,,680001,10.52701,76.214621,low,0.5,nominatim,city_only,"Thrissur, India",string_similarity=0.29; token_overlap=0.20; city_match; postal_match; within_india_bounds
"Regional Office, KOZHIKODE (CALICUT)",KOZHIKODE (CALICUT),Kerala & Lakshadweep,"Bhavishya Nidhi Bhawan, P.B. No. 1806,, Eranhipalam(PO),, Kozhikode - 673 006",Kozhikode - 673 006,,,11.245056,75.775472,very_low,0.214,nominatim,city_only,"Kozhikode - 673 006, India",string_similarity=0.29; token_overlap=0.12; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - PALAKKAD",D.O - PALAKKAD,Kerala & Lakshadweep,"EPFO, 2nd FLOOR, RAM ARCADE,, CHANDRA NAGAR,, Palakkad - 673007",Palakkad,,673007,10.77319,76.65366,very_low,0.382,open_meteo,city_only,"Palakkad, India",string_similarity=0.35; token_overlap=0.11; city_match; postal_missing; within_india_bounds
"District Office, D.O - WAYANAD",D.O - WAYANAD,Kerala & Lakshadweep,"Popular Building, Opp: Civil Station,Kalpetta, Wayanad - 673 122",Wayanad - 673 122,,,11.61426,76.082719,very_low,0.298,nominatim,city_only,"Wayanad - 673 122, India",string_similarity=0.46; token_overlap=0.22; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, KOLLAM",KOLLAM,Kerala & Lakshadweep,"Ponnamma Chambers,Parameswar Nagar,, Opposite Archana-Aradhana Theatre, Kollam - 691 001",Kollam - 691 001,,,8.887082,76.590702,very_low,0.186,nominatim,city_only,"Kollam - 691 001, India",string_similarity=0.24; token_overlap=0.09; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, KANNUR",KANNUR,Kerala & Lakshadweep,"P.B. No. 117, Fort Building,, V.K. Complex, Fort Road, Kannur - 670 001",Kannur - 670 001,,,11.867719,75.404835,very_low,0.209,nominatim,city_only,"Kannur - 670 001, India",string_similarity=0.28; token_overlap=0.12; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, KOTTAYAM",KOTTAYAM,Kerala & Lakshadweep,"Aditya Sabari Tower,, Post Office Road,Thirunakkara. Kerala,, Kottayam - 686 001",Kottayam - 686 001,,,9.591564,76.52216,very_low,0.245,nominatim,city_only,"Kottayam - 686 001, India",string_similarity=0.34; token_overlap=0.18; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - MUNNAR",D.O - MUNNAR,Kerala & Lakshadweep,"EPFO District Office,Panchayat Office Building,, Munnar-P.O, Munnar,, Idukki District,Kerala State - 685612","Idukki District,Kerala State",,685612,10.095078,77.077554,very_low,0.38,nominatim,postal_code,"685612, India",string_similarity=0.30; token_overlap=0.30; city_mismatch; postal_match; within_india_bounds
"Regional Office, THIRUVANANTHAPURAM",THIRUVANANTHAPURAM,Kerala & Lakshadweep,"Bhavishyanidhi Bhawan,P.B. No. . 1016,, Pattom, Thiruvananthapuram - 695 004",Thiruvananthapuram - 695 004,,,8.530615,76.940919,very_low,0.253,maps_co,city_only,"Thiruvananthapuram - 695 004, India",string_similarity=0.39; token_overlap=0.14; city_mismatch; postal_unavailable; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, RAJASTHAN",RAJASTHAN,Rajasthan,"Nidhi Bhawan, Vidyut Marg,, Jyoti Nagar,(RJ), Jaipur - 302 005",Jaipur - 302 005,Rajasthan,,26.915458,75.818982,very_low,0.313,nominatim,city_state,"Jaipur - 302 005, Rajasthan, India",string_similarity=0.24; token_overlap=0.11; city_mismatch; state_match; postal_unavailable; within_india_bounds
"Regional Office, ALWAR",ALWAR,Rajasthan,"Employees' Provident Fund Organisation, ""Bhavishya Nidhi Bhawan"", Agrasen Circle,, Alwar - 301001",Alwar,,301001,27.5513589,76.6019371,high,1,google_maps,exact_place,"EPF Employees Provident Fund, Alwar",official_phone_match; exact_place_match; postal_match; within_india_bounds
"District Office, D.O - BHARATPUR",D.O - BHARATPUR,Rajasthan,"EPFO, A-84,, Ranjit Nagar,, Bharatpur - 321001",Bharatpur,,321001,27.216016,77.500113,low,0.525,nominatim,postal_code,"321001, India",string_similarity=0.26; token_overlap=0.33; city_match; postal_match; within_india_bounds
"Regional Office, JODHPUR",JODHPUR,Rajasthan,"130, Paschim Pal Vistar Yojana,, Opp. Shankar Nagar, (Rajasthan), Jodhpur - 342 008",Jodhpur - 342 008,,,26.266475,72.97964,very_low,0.267,nominatim,city_only,"Jodhpur - 342 008, India",string_similarity=0.36; token_overlap=0.25; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - PALI",D.O - PALI,Rajasthan,"621, Subhash Nagar A,, Opposite Mill Gate,, Pali - 306401",Pali,,306401,25.842335,73.392869,low,0.482,nominatim,postal_code,"306401, India",string_similarity=0.20; token_overlap=0.25; city_match; postal_match; within_india_bounds
"District Office, D.O - SRIGANGANAGAR",D.O - SRIGANGANAGAR,Rajasthan,"25-B Block,, Behind Amrit Mishthan Bhandar,, Sriganganagar - 335001",Sriganganagar,,335001,29.931964,73.872345,low,0.498,nominatim,city_only,"Sriganganagar, India",string_similarity=0.24; token_overlap=0.25; city_match; postal_match; within_india_bounds
"District Office, D.O - BIKANER",D.O - BIKANER,Rajasthan,"5/B1,, Jai Narain Vyas Colony,, Bikaner - 334001",Bikaner,,334001,28.015929,73.317137,low,0.56,nominatim,city_only,"Bikaner, India",string_similarity=0.40; token_overlap=0.29; city_match; postal_match; within_india_bounds
"Regional Office, KOTA",KOTA,Rajasthan,"Nidhi Bhawan,, Vigyan Nagar, (Rajasthan), Kota - 324005",Kota,,324005,25.146806,75.847365,low,0.575,nominatim,postal_code,"324005, India",string_similarity=0.34; token_overlap=0.43; city_match; postal_match; within_india_bounds
"Regional Office, JAIPUR",JAIPUR,Rajasthan,"Nidhi Bhawan, Vidyut Marg,, Jyoti Nagar,(RJ), Jaipur - 302 005",Jaipur - 302 005,,,26.896597,75.797692,very_low,0.303,photon,full_address,"Nidhi Bhawan, Vidyut Marg,, Jyoti Nagar,(RJ), Jaipur - 302 005",string_similarity=0.40; token_overlap=0.33; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - AJMER",D.O - AJMER,Rajasthan,"EPFO,A-3, Haribhau Upadhyay Nagar,, Near Regional College Chouraha, Pushkar Road,, Ajmer - 305001",Ajmer,,305001,26.462195,74.635248,low,0.454,nominatim,postal_code,"305001, India",string_similarity=0.19; token_overlap=0.15; city_match; postal_match; within_india_bounds
"District Office, D.O - JHUNJHUNUN",D.O - JHUNJHUNUN,Rajasthan,"EPFO, 106, Water works lane, between Gali no. 2-3, Man Nagar,, Jhunjhunu - 333001",Jhunjhunu,,333001,28.128799,75.399258,low,0.506,maps_co,city_only,"Jhunjhunu, India",string_similarity=0.34; token_overlap=0.15; city_match; postal_match; within_india_bounds
"Regional Office, UDAIPUR",UDAIPUR,Rajasthan,"Chitrakoot Nagar,, Bhuwana, (Rajasthan)., Udaipur - 313 004",Udaipur - 313 004,,,24.619582,73.727487,very_low,0.377,photon,full_address,"Chitrakoot Nagar,, Bhuwana, (Rajasthan)., Udaipur - 313 004",string_similarity=0.54; token_overlap=0.43; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - BHILWARA",D.O - BHILWARA,Rajasthan,"13-14, Ganesh Mandir Road, Gandhi Nagar, Bhilwara - 311001",Bhilwara,,311001,25.362376,74.639789,low,0.495,nominatim,postal_code,"311001, India",string_similarity=0.26; token_overlap=0.22; city_match; postal_match; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, HARYANA",HARYANA,Haryana,"Office of the Addl. Central Provident Fund Commissioner(Haryana), Dr. Shyama Prasad Mukherjee Institute of Social Security Administration Building,, Sector 16-A, Old Faridabad, Haryana - 121002",Haryana,Haryana,121002,28.415415,77.329553,low,0.571,nominatim,postal_code,"121002, India",string_similarity=0.19; token_overlap=0.14; city_match; state_match; postal_match; within_india_bounds
